"20210701","7/4/2021","Picnic Island ","Disabled","Tow","","1745"
"20210702","7/4/2021","Marker 5 Bunce's","Aground","No Longer Needs Assistance ","",""
"20210703","7/5/2021","27.664 -82.777","Disabled","Tow","","1609"
"20210704","7/5/2021","27.6867 -82.735","Disabled","Tow","","1725"
"20210705","7/8/2021","Mkr 1 Snell Isle","Disabled","Fuel/Oil Transfer","","1010"
"20210706","7/12/2021","Macdill BR","Disabled","Fuel/Oil Transfer","","2223"
"20210707","7/15/2021","Pasadena YC Marker 9","Disabled","Tow","",""
"20210708","7/16/2021","Jungle Prada BR","Disabled","Jump Start","","1942"
"20210709","7/21/2021","Point Brittany Private Channel","Aground","Freed from Aground","Tow",""
"20210710","7/24/2021","1000 yds off Fountains Apts ","Taking on Water","Agency Assist (Case Accepted) ","","1534"
"20210711","7/24/2021","St pete beach","Disabled","Tow","","1320"
"20210712","7/25/2021","Dick Meisner","Bridge Jumper","Search","","0512"
"20210713","7/25/2021","marker 12 ICW","Disabled","Tow","","1550"
"20210714","7/31/2021","Egmont","Disabled","Jump Start","","1906"
"20210801","8/1/2021","St. Pete Pier","Overdue","Agency Assist (Case Accepted) ","","0524"
"20210802","8/1/2021","Off of townshore apartments","Fire","Fuel/Oil Transfer","","2036"
"20210803","8/2/2021","Gulfport","Disabled","Jump Start","Tow","2245"
"20210804","8/3/2021","4/500m SE of Casino Pier","Taking on Water","Agency Assist (Case Accepted) ","",""
"20210805","8/3/2021","2000 ft off Vinoy ","Unknown Circumstance","Agency Assist (Case Accepted) ","","1935"
"20210806","8/5/2021","Mkr 6 Cat's Point ","Disabled","Fuel/Oil Transfer","","1413"
"20210807","8/7/2021","Bay Pines ","Fire","No Longer Needs Assistance ","Agency Assist (Case Accepted) ","1156"
"20210808","8/8/2021","27.6234346 -82.7583297","Disabled","Tow","","1137"
"20210809","8/11/2021","John's Pass","PIW","Agency Assist (Case Accepted) ","","1603"
"20210810","8/12/2021","Sunshine Skyway","PIW","Declined by SC","","1818"
"20210811","8/15/2021","Mkr 18 of Main Channel","Aground","Freed from Aground","Tow","1558"
"20210812","8/17/2021","Fergie Shoal SE","Aground","Freed from Aground","","0732"
"20210813","8/18/2021","27.70255 -82.66562","Disabled","No Longer Needs Assistance ","","0927"
"","8/19/2021","","","","",""
"20210814","8/20/2021","Quad 1","Weather","Escort","Tow","1615"
"20210815","8/20/2021","Gulfport","PIW","No Longer Needs Assistance ","","2017"
"20210816","8/21/2021","Tierra Verde Bridge ","Disabled","Fuel/Oil Transfer","Escort","1551"
"20210817","8/21/2021","PG Marker ","Disabled","Fuel/Oil Transfer","","1654"
"20210818","8/21/2021","Bunces North Shoal","Aground","Transport","","1817"
"20210819","8/21/2021","Hillsborough","Disabled","No Longer Needs Assistance ","","1915"
"20210820","8/25/2021","Skyway","Disabled","Tow","","1207"
"20210821","8/27/2021","N Side of Dick Misener","Disabled","Other","Dewatering","0803"
"20210822","8/27/2021","Shell Key","Weather","Escort","","1436"
"20210823","8/29/2021","27.733612 -82.7063833","Disabled","Tow","","1134"
"20210824","8/29/2021","MRK 7 Skyway","Disabled","Escort","","1630"
"","8/30/2021","North of Jackass Key","Disabled","Jump Start","Tow","1231"
"","8/30/2021","","","","",""
"","8/30/2021","West of Sister Key","Disabled","Jump Start","Tow","1258"
"20210825","8/30/2021","Tierre Vierde High and Dry","Disabled","Tow","","1615"
"ORI","8/30/2021","Correy Causeway","Medical","Medical","",""
"20210826","8/31/2021","Main Span","Bridge Jumper","Agency Assist (Case Accepted) ","","0431"
"20210827","8/31/2021","E Foxtrot","Medical","Other","Other",""
"","8/31/2021","E Foxtrot","Medical","Medical","",""
"202108","8/31/2021","Fergie Shoal","Capsized","Parbuckling","",""
"2021008","8/31/2021","Fergie shoal","Capsized","Parbuckling","",""
"20210901","9/4/2021","Dock on W side of Structure A","Disabled","Fuel/Oil Transfer","Tow","0507"
"20210902","9/4/2021","27.6512 -82.611283","Disabled","Information/Advice","","1158"
"20210903","9/4/2021","N of Indian Key","Overdue","Escort","","1617"
"20210904","9/5/2021","Mkr 16 Sunshine Skyway Channel","Disabled","Fuel/Oil Transfer","","1300"
"20210905","9/6/2021","Bridge Echo","Disabled","Tow","","1701"
"20210906","9/6/2021","Shell Key","Capsized","No Longer Needs Assistance ","","2105"
"20210907","9/7/2021","6 miles SW of Anna Maria","Disabled","Information/Advice","","1707"
"20210908","9/10/2021","Bay Pines BR","Aground","Transport","Other","1801"
"20210909","9/11/2021","Mermaid Point","Disabled","Fuel/Oil Transfer","Tow","1720"
"20210910","9/12/2021","Pinellas Point","PIW","No Longer Needs Assistance ","No Longer Needs Assistance ","1916"
"20210911","9/13/2021","Outback Key","Aground","Declined by SC","","1007"
"20210912","9/13/2021","27.78967 -82.76","Disabled","Tow","","2058"
"20210913","9/14/2021","East of Egmont near CG dock ","Disabled","Tow","","1411"
"20210914","9/14/2021","South","PIW","No Longer Needs Assistance ","","1501"
"20210915","9/15/2021","N Point Brittany ","PIW","Agency Assist (Case Accepted) ","","1330"
"20210916","9/16/2021","Egmont Key","Disabled","Tow","","1749"
"20210917","9/17/2021","S tip of Egmont","Aground","Information/Advice","Freed from Aground","1327"
"20210919","9/17/2021","W of Bunces","Disabled","Tow","","1303"
"20210920","9/18/2021","Dick Minsor","Disabled","Tow","","1641"
"20210921","9/22/2021","Outside Main Shipping Channel","Disabled","Tow","","1536"
"20210922","9/24/2021","Mouth of Frenchman's Creek","Disabled","Tow","","1537"
"20210923","9/24/2021","Fort Desoto North Beach","Disabled","No Longer Needs Assistance ","","2105"
"20210924","9/24/2021","South of Charlie","Disabled","Tow","","2105"
"20210925","9/25/2021","Cockoach Bay","Disabled","Tow","","1213"
"20210926","9/25/2021","Bay Pines","Fire","No Longer Needs Assistance ","","1628"
"20210927","9/28/2021","Skyway","Disabled","Jump Start","","2335"
"20210928","9/29/2021","Indian Key","Disabled","Tow","","1924"
"20210929","09/30/2021","Structure Foxtrot","Medical","Agency Assist (Case Accepted) ","","1411"
"20210930","9/30/2021","27.64817 -82.80908","Disabled","No Longer Needs Assistance ","","1744"
"20210931","9/30/2021","South Fishing Pier","Taking on Water","Dewatering","Tow","1845"
"20211001","10/1/2021","NE Indian Key","Capsized","Other","Tow","1558"
"20211002","10/1/2021","Skyway","Flare","Search","Jump Start","2325"
"20211003","10/2/2021","John's Pass Boardwalk","PIW","No Longer Needs Assistance ","","1105"
"20211004","10/2/2021","Tiera Verde Hi and Dry","Outside SOPs","Tow","","1126"
"20211005","10/2/2021","St. Pete Beach","PIW","In Water Rescue","","1906"
"20211006","10/3/2021","Shell Key","Disabled","Tow","","0946"
"20211007","10/3/2021","Under Skyway ","Disabled","Jump Start","Tow","1018"
"20211008","10/3/2021","W of O'neill's entrance channel","Disabled","Tow","","1558"
"20211009","10/5/2021","2.5 Miles south of skyway pier","Capsized","No Longer Needs Assistance ","","1308"
"20211010","10/9/2021","Tierre Vierde Marina","Disabled","Tow","","1445"
"20211011","10/9/2021","2662 W Vina Del Mar BL","Fire","Firefighting","","1445"
"20211012","10/10/2021","27.8331167 -82.562433","Aground","Information/Advice","","1001"
"20211013","10/10/2021","PAG Sea Critter Dock","Disabled","Tow","","1436"
"20211014","10/10/2021","Jungle Prada BR","Disabled","Tow","","1526"
"20211015","10/12/2021","West-side of Passage key ","Disabled","No Longer Needs Assistance ","","1730"
"20211016","10/13/2021","27.7428603 -82.7589368","PIW","No Longer Needs Assistance ","","1917"
"20211017","10/14/2021","Boca Ciega Bay","Disabled","Fuel/Oil Transfer","Tow","1307"
"20211018","10/16/2021","Ft. Desoto Beach 1mn M gulf Pier","Disabled","Tow","","1127"
"20211019","10/16/2021","1 mile S of courtney campbell","Disabled","Tow","","1546"
"20211020","10/16/2021","South side of Mullet Key","Capsized","Parbuckling","Tow","1621"
"20211021","10/17/2021","East side of Ft Desoto ","Taking on Water","No Longer Needs Assistance ","","0927"
"20211022","10/17/2021","27.6661 -82.6024","Disabled","Tow","","1219"
"20211023","10/17/2021","Shell Key","PIW","No Longer Needs Assistance ","","1402"
"20211024","10/17/2021","Shell Key","Disabled","No Longer Needs Assistance ","","1733"
"","10/17/2021","","","","",""
"20211025","10/18/2021","Townshore Apartments","Disabled","Tow","","1559"
"20211026","10/19/2021","Gulf Side of Skyway","PIW","No Longer Needs Assistance ","","1727"
"20211027","10/21/2021","Mkr 18 Main Channel","Disabled","Fuel/Oil Transfer","","1446"
"20211028","10/23/2021","Pass-A-Grille","PIW","No Longer Needs Assistance ","","1844"
"20211029","10/23/2021","Main Channel","Disabled","Tow","","1109"
"20211030","10/24/2021","Pass-a-Grill","Disabled","Jump Start","","1402"
"20211032","9/4/2021","Gandy Bridge","PIW","No Longer Needs Assistance ","","1548"
"20211033","10/30/2021","Structure Echo","PIW","No Longer Needs Assistance ","","1708"
"20211034","10/30/2021","Upper Boca","Outside SOPs","Agency Assist (Case Accepted) ","No Longer Needs Assistance ","1827"
"20211035","10/30/2021","2 Nm W of Bellwether Resort","No Distress (Good Intent / Hoax)","No Longer Needs Assistance ","","2142"
"20211031","10/25/2021","Outside Frenchman's Creek ","Disabled","Tow","No Longer Needs Assistance ","1516"
"20211101","11/1/2021","Second Span","Disabled","Jump Start","Tow","1927"
"20211102","11/3/2021","Tierra Verde High and Dry","Disabled","Fuel/Oil Transfer","","1515"
"20211103","11/6/2021","27.7149168 -82.738595","PIW","No Longer Needs Assistance ","","1404"
"20211104","11/6/2021","South side Indian Key","Overdue","Escort","Tow","1633"
"20211105","11/6/2021","Pass-a-Grille Channel","Disabled","Jump Start","Escort","1827"
"20211106","11/7/2021","Frenchmans Creek","Unknown Circumstance","Tow","","1024"
"20211107","11/7/2021","Quad 1","Disabled","Tow","","1421"
"Fake Case","11/7/2021","out of Magnuson Marina","Disabled","Jump Start","","1521"
"Fake case 2","11/7/2021","Magnuson Hotel","Disabled","Fuel/Oil Transfer","","1558"
"20211108","11/7/2021","First Span","Disabled","Tow","","1627"
"20211109","11/8/2021","Northwest side of Egmont","Aground","Freed from Aground","","1834"
"20211110","11/9/2021","Outback Key","PIW","Repaired","","1420"
"20211111","11/10/2021","Skyway","PIW","No Longer Needs Assistance ","","1323"
"20211112","11/10/2021","Coquina Key ","Disabled","Tow","","1336"
"20211113","11/10/2021","NW mkr 13 PEW","PIW","Agency Assist (Case Accepted) ","","1401"
"20211114","11/12/2021","27.7693167 -82.5094","PIW","No Longer Needs Assistance ","","1829"
"20211115","11/12/2021","Skyway","Disabled","Fuel/Oil Transfer","Escort","2323"
"20211116","11/13/2021","E Second Span","Disabled","Fuel/Oil Transfer","","1633"
"20211117","11/15/2021","Snell Isle","Unknown Circumstance","Escort","","2020"
"20211118","11/16/2021","Mkr 6 Cat's Point","Disabled","Tow","","1007"
"20211119","11/16/2021","North of TV","Disabled","Fuel/Oil Transfer","","1331"
"20211120","11/17/2021","6 miles off PAG","Capsized","No Longer Needs Assistance ","","1328"
"20211121","11/19/2021","Point Brittany","Capsized","Transport","Escort","1519"
"20211122","11/20/2021","Mouth of Frenchmans creek","Disabled","Tow","","1425"
"20211123","11/20/2021","Shell key","PIW","No Longer Needs Assistance ","","1436"
"PRACTICE","11/21/2021","near corey causeway ","Disabled","Tow","","1339"
"PRACTICE2","11/21/2021","soup bowl shoal","Disabled","Jump Start","","1453"
"20211124","11/27/2021","Offshore of the Caddy's","PIW","No Longer Needs Assistance ","","1600"
"20211125","11/27/2021","Shell Key","Taking on Water","No Longer Needs Assistance ","","1624"
"20211126","11/27/2021","Gandy Bridge","Disabled","Agency Assist (Case Accepted) ","","1833"
"20211127","11/29/2021","27.70436 -82.628247","Aground","Information/Advice","","1526"
"20211201","12/4/2021","St. Pete Yacht Club","Fire","No Longer Needs Assistance ","","1339"
"20211202","12/5/2021","Skyway Middle Rocks","Disabled","Tow","","1003"
"20211204","12/5/2021","Gandy","Disabled","No Longer Needs Assistance ","","1935"
"20211205","12/11/2021","3 nm west of bunces","PIW","Agency Assist (Case Accepted) ","","1238"
"20211206","12/11/2021","Chrisp Park Br","Overdue","No Longer Needs Assistance ","","1356"
"20211207","12/12/2021","PAG, near TVHD","Disabled","No Longer Needs Assistance ","","1645"
"20220101","1/7/2022","Boca Ciega Isle","Aground","Escort","","1351"
"20220102","1/8/2022","Center span of skyway","Capsized","Agency Assist (Case Accepted) ","","1124"
"20220103","1/8/2022","Corey Causeway","Disabled","Tow","","1327"
"20220104","1/8/2022","27.6625167 -82.66667","Taking on Water","Dewatering","Tow","2120"
"20220105","1/9/2022","Weedon Island","Overdue","Other","","1815"
"20220106","1/10/2022","Pass-A-Grille","Overdue","No Longer Needs Assistance ","","1509"
"20220107","1/15/2022","Blinds Pass","Disabled","Fuel/Oil Transfer","Escort","1604"
"20220108","1/16/2022","Gamma Seawall","No Distress (Good Intent / Hoax)","","","1120"
"20220109","1/18/2022","Tarpon Key ","Disabled","Fuel/Oil Transfer","","1240"
"20220110","1/18/2022","Skyway main span","Collision/Allision","Agency Assist (Case Accepted) ","","1917"
"20220111","1/19/2022","SAR dock","Disabled","Jump Start","","1418"
"20220112","1/20/2022","Mkr 29 ICW","Disabled","Tow","","1109"
"20220114","1/23/2022","Coquina Key","Disabled","Fuel/Oil Transfer","","0154"
"20220115","1/27/2022","3 nm E of Second Span","Disabled","Fuel/Oil Transfer","","1000"
"20220116","1/27/2022","Mkr 22 Skyway","Aground","Escort","","1615"
"20220117","1/29/2022","West of Gandy Bridge","PIW","Agency Assist (Case Accepted) ","","1434"
"20220118","1/30/2022","South of Pinellas Point","Disabled","Tow","","1628"
"20220119","1/30/2022","Skyway Center Span","Bridge Jumper","Search","","2105"
"20220201","2/3/2022","St Pete Pier","PIW","Agency Assist (Case Accepted) ","No Longer Needs Assistance ","1833"
"20220202","2/5/2022","Mkr 2 Bay Pines","Disabled","Jump Start","Transport","0925"
"20220203","2/9/2022","O'Neils Marina","Medical","Tow","","1822"
"20220204","2/10/2022","Mkr 17 Main Channel","Disabled","Tow","","1700"
"20220205","2/12/2022","0.5 NM East of Mrkr 7 PNS","Collision/Allision","Search","","1006"
"20220206","2/13/2022","Gandy","Capsized","Agency Assist (Case Accepted) ","","1542"
"20220207","2/13/2022","Downtown St. Pete","Disabled","Escort","","1713"
"20220208","2/14/2022","Frenchman's Creek","Disabled","Tow","","1630"
"20220209","2/16/2022","Quad 1","Overdue","Tow","","1550"
"20220210","2/18/2022","Beer Can Island ","Disabled","Other","","2000"
"20220211","2/19/2022","War Veterans Memorial Park","Disabled","No Longer Needs Assistance ","","0102"
"20220212","2/19/2022","I-275 Swash","Disabled","Tow","","1652"
"20220213","2/19/2022","Corey Causeway ","Aground","Freed from Aground","No Longer Needs Assistance ","0827"
"20220214","2/20/2022","Don Cesar","Capsized","Agency Assist (Case Accepted) ","","1243"
"20220215","2/20/2022","Mrk 7 Skyway","Disabled","No Longer Needs Assistance ","","1412"
"20220216","2/20/2022","Indian key","Overdue","Tow","","1618"
"20220217","2/21/2022","Bay Pines BR","Outside SOPs","Declined by SC","","2032"
"20220218","2/25/2022","Mouth of Frenchman's Creek","Disabled","Tow","","1202"
"20220219","2/25/2022","John's Pass","Disabled","Tow","","1344"
"20220220","2/26/2022","Marker 6 Cat's Point Channel ","Disabled","Tow","","1156"
"20220221","2/26/2022","1st Span","Disabled","Tow","","1419"
